School,Win Loss Percentage,Simple Rating System,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Cal State Fullerton,.188,-15.45,68.8,92.0,.398,.338,.500,48.5,42.2,7.7,6.1,.447,19.0,27.2,.295
Cal State Northridge,.688,2.67,72.9,110.2,.359,.313,.558,56.1,57.4,10.6,10.7,.523,16.0,35.8,.262
California,.424,5.86,67.8,108.1,.389,.378,.526,51.8,41.2,9.0,9.3,.478,13.9,34.7,.290
California Baptist,.531,-0.71,67.5,104.4,.297,.350,.522,51.3,45.6,9.7,6.9,.483,15.0,33.3,.225
Campbell,.469,-5.16,66.5,105.1,.303,.413,.544,48.0,54.3,10.3,8.8,.506,14.0,24.6,.234
Canisius,.097,-18.98,66.2,97.8,.233,.414,.540,41.6,47.7,9.3,7.2,.512,17.0,18.3,.177
Central Arkansas,.273,-14.65,67.9,101.1,.280,.482,.513,49.3,55.4,10.6,8.0,.480,15.3,29.4,.201
Central Connecticut State,.781,-4.15,66.5,108.2,.255,.358,.564,52.5,52.4,11.3,12.2,.538,15.0,27.0,.189
Central Michigan,.452,-4.34,69.6,107.7,.362,.338,.553,52.7,50.3,10.5,8.7,.517,15.2,32.1,.262
Charleston Southern,.313,-10.81,69.6,102.3,.448,.424,.526,51.9,47.7,6.7,6.3,.490,16.5,32.0,.296
Charlotte,.333,-5.10,65.4,105.8,.425,.412,.536,47.5,53.2,7.6,5.9,.485,13.2,25.7,.318
Chattanooga,.727,0.99,67.5,115.4,.303,.458,.594,50.1,60.5,10.0,8.7,.564,13.4,26.3,.233
Chicago State,.125,-20.77,69.0,90.0,.268,.409,.478,43.1,48.5,10.6,10.2,.444,16.4,22.6,.189
Cincinnati,.545,14.59,66.1,106.7,.234,.381,.528,50.7,50.9,11.1,11.7,.509,13.3,32.3,.156
Clemson,.818,18.51,65.0,114.8,.282,.384,.568,52.2,52.3,11.3,10.4,.536,13.5,33.7,.216
Cleveland State,.636,-1.87,66.8,108.5,.303,.328,.537,50.8,52.2,13.0,14.9,.505,14.8,35.4,.220
Coastal Carolina,.313,-12.02,64.4,103.2,.344,.399,.531,51.5,49.6,5.1,4.5,.497,16.0,29.4,.241
Colgate,.424,-7.46,66.9,106.9,.228,.425,.566,49.2,52.6,9.5,6.9,.544,15.0,24.0,.167
College of Charleston,.727,-0.31,70.3,108.3,.348,.399,.557,50.1,58.9,9.1,6.2,.525,14.2,26.6,.249
Colorado,.412,10.53,68.2,101.8,.363,.373,.548,51.4,58.4,10.3,11.1,.506,18.5,28.9,.274
Colorado State,.735,13.92,66.3,112.2,.318,.428,.592,52.4,62.8,7.6,8.0,.558,15.5,26.4,.246
Columbia,.444,-8.93,71.2,110.1,.290,.398,.562,50.3,61.0,10.9,5.9,.533,13.5,27.5,.213
