school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Northwestern,.406,9.97,66.8,97.8,.302,.407,.505,48.4,61.4,8.2,11.1,.466,14.3,24.3,.222
Northwestern State,.355,-17.06,70.7,92.8,.337,.361,.494,47.8,46.9,8.7,12.1,.458,19.3,29.9,.230
Notre Dame,.424,7.97,66.4,103.3,.301,.437,.502,48.4,54.5,8.2,11.7,.462,11.9,29.0,.224
Oakland,.485,-2.27,69.9,109.4,.357,.439,.583,47.4,67.1,8.2,7.8,.549,16.4,25.2,.265
Ohio,.452,-1.84,71.5,96.9,.328,.344,.512,50.8,56.2,8.9,10.1,.488,17.4,29.0,.207
Ohio State NCAA,.571,13.89,66.7,103.2,.337,.401,.540,50.9,58.9,8.8,7.0,.503,16.4,27.6,.247
Oklahoma NCAA,.588,15.30,69.3,102.4,.313,.331,.534,50.2,48.7,8.6,8.3,.504,15.0,25.6,.218
Oklahoma State,.375,8.09,67.1,101.0,.306,.419,.529,48.6,55.5,8.5,13.1,.501,15.8,26.4,.210
Old Dominion NCAA,.743,3.74,65.6,100.2,.289,.373,.499,53.2,53.3,8.6,14.3,.471,15.0,31.8,.192
Omaha,.656,-2.32,70.0,111.7,.237,.360,.568,49.2,43.1,8.0,5.7,.546,12.0,24.9,.171
Oral Roberts,.344,-9.34,69.1,104.2,.263,.392,.549,52.1,50.8,6.8,9.4,.527,17.5,30.3,.181
Oregon NCAA,.658,13.95,65.5,106.2,.294,.395,.549,51.1,52.3,11.6,14.6,.520,15.4,29.1,.212
Oregon State,.581,7.84,67.2,108.3,.368,.366,.560,51.7,58.1,8.8,14.9,.522,15.9,30.6,.273
Pacific,.438,-2.46,66.7,99.4,.415,.337,.531,51.1,45.8,9.3,5.0,.481,17.4,27.0,.309
